"Period","Direction","Passenger_type","Count"
201708,"Arrival","PLT",10014
201708,"Departure","NZ Resident",252117
201708,"Departure","Overseas visitor",250732
201708,"Departure","PLT",4894
201708,"Net migration","PLT",5120
201709,"Arrival","NZ Resident",259036
201709,"Arrival","Overseas visitor",252746
201709,"Arrival","PLT",11121
201709,"Departure","NZ Resident",273569
201709,"Departure","Overseas visitor",217447
201709,"Departure","PLT",4303
201709,"Net migration","PLT",6818
201710,"Arrival","NZ Resident",319931
201710,"Arrival","Overseas visitor",270515
201710,"Arrival","PLT",11740
201710,"Departure","NZ Resident",263850
201710,"Departure","Overseas visitor",267072
201710,"Departure","PLT",4090
201710,"Net migration","PLT",7650
201711,"Arrival","NZ Resident",214488
201711,"Arrival","Overseas visitor",360136
201711,"Arrival","PLT",11073
201711,"Departure","NZ Resident",222971
201711,"Departure","Overseas visitor",319968
201711,"Departure","PLT",4322
201711,"Net migration","PLT",6751
201712,"Arrival","NZ Resident",167066
201712,"Arrival","Overseas visitor",513349
201712,"Arrival","PLT",10710
201712,"Departure","NZ Resident",300242
201712,"Departure","Overseas visitor",358750
201712,"Departure","PLT",6049
201712,"Net migration","PLT",4661
201801,"Arrival","NZ Resident",316840
201801,"Arrival","Overseas visitor",379228
201801,"Arrival","PLT",14889
201801,"Departure","NZ Resident",173745
201801,"Departure","Overseas visitor",489650
201801,"Departure","PLT",6312
201801,"Net migration","PLT",8577
201802,"Arrival","NZ Resident",176835
201802,"Arrival","Overseas visitor",423456
201802,"Arrival","PLT",12761
201802,"Departure","NZ Resident",151061
201802,"Departure","Overseas visitor",410212
201802,"Departure","PLT",5356
201802,"Net migration","PLT",7405
201803,"Arrival","NZ Resident",183140
201803,"Arrival","Overseas visitor",388327
201803,"Arrival","PLT",9966
201803,"Departure","NZ Resident",211316
201803,"Departure","Overseas visitor",419846
